type,cpu,time,iterations
0,0,1.39678,18062
1,0,0.266852,2964
0,0,0.612451,8164
1,0,0.497107,7277
0,0,5.06136,65798
0,0,0.182056,2594
0,0,6.64656,82733
1,0,21.1244,271221
0,0,0.0156912,0
1,0,0.195479,2623
0,0,0.0285332,0
1,0,5.6166,71061
0,0,0.904625,11932
1,0,0.306673,3254
0,0,302.662,3775275
1,0,5.55167,72048
0,1,0.0175311,0
1,1,54.1717,413778
0,1,50.4584,383009
1,1,13.9929,105833
0,1,0.055921,467
1,1,177.163,1393135
0,1,32.1927,249614
1,1,21.4602,169477
0,1,38.5539,308998
1,1,1.17587,9731
0,2,1.25575,9957
1,2,0.570077,3877
0,2,20.9386,148402
1,2,15.7494,121267
0,2,1.08358,7965
1,2,1.92887,14843
0,2,34.8549,251228
1,2,6.89766,55559
0,2,7.41676,50948
1,2,0.488391,4008
0,4,0.340681,2000
1,4,11.527,75497
0,4,2.82432,17887
1,4,0.0684122,97
0,4,0.0739385,59
1,4,0.636078,4552
0,4,0.83861,6000
1,4,7.61198,50521
0,4,4.92166,31327
1,4,18.1276,120589
0,6,0.139955,0
1,6,4.17583,19949
0,6,0.0196127,0
1,6,5.88556,30674
0,6,0.787468,3649
1,6,0.594687,1193
0,6,4.77637,18757
1,6,2.10103,7611
0,6,4.40951,15382
1,6,35.3723,190843
0,8,0.0292203,0
1,8,10.6974,29603
0,8,0.38728,1000
1,8,15.018,39845
0,8,1.37021,3422
1,8,1.52233,4264
0,8,1.19063,3467
1,8,2.34809,5983
0,8,1.64998,4155
1,8,0.0499759,0
0,12,1.05286,2181
1,12,0.956557,2960
0,12,1.70991,4955
1,12,0.266723,70
0,12,1.5673,4421
1,12,0.272757,0
0,12,1.57274,4008
1,12,2.23757,6741
0,12,2.1067,6019
1,12,1.37734,4152
0,16,8.8413,21682
1,16,22.4205,55911
0,16,2.60246,6273
1,16,1.93832,4934
0,16,1.96743,4855
1,16,2.29589,5681
0,16,6.85549,16548
1,16,5.36862,13383
0,16,0.017632,0
1,16,3.40446,8443
0,24,1.47031,2465
1,24,11.0145,18423
0,24,3.29822,5524
1,24,0.387727,675
0,24,1.62613,2830
1,24,165.642,292635
0,24,0.145285,0
1,24,9.71584,16674
0,24,7.90517,13427
1,24,3.91432,6660
0,32,0.800741,1094
1,32,0.132658,0
0,32,45.6464,59972
1,32,2.08578,2795
0,32,5.64147,7164
1,32,1.20995,1615
0,32,1.47499,1820
1,32,10.3113,14024
0,32,0.871241,1012
1,32,0.15296,224
0,0,4.37513,57017
1,0,99.2456,1212860
0,0,5.02383,64747
1,0,0.956469,11883
0,0,21.6565,279663
1,0,5.26411,63678
0,0,1.94468,27164
1,0,0.052941,621
0,0,1.48255,19033
1,0,120.525,1478103
0,1,8.31336,66316
1,1,0.708093,6203
0,1,5.05755,38904
1,1,0.0596264,0
0,1,29.4926,228816
1,1,11.2358,95436
0,1,23.5395,176608
1,1,112.379,864222
0,1,22.2576,166120
1,1,14.1347,105362
0,2,55.2617,412757
1,2,40.9593,306367
0,2,1.70646,12682
1,2,14.7144,113837
0,2,40.4364,299003
1,2,367.895,2715896
0,2,19.1169,135674
1,2,0.215832,1557
0,2,2.35544,17409
1,2,16.8392,127345
0,4,1.64794,10116
