h,w,time,iterations
9,2,13.1494,85131
9,2,0.541572,3524
9,2,8.06704,52652
9,2,2.1257,13931
9,2,7.17245,47088
9,2,5.8448,38059
9,2,0.162754,1043
9,2,1.68051,10992
9,2,1.60677,10534
9,2,0.863255,5633
9,2,0.738243,4794
9,2,12.1908,79548
9,2,0.196402,1269
9,2,0.241652,1605
9,2,8.85189,57748
9,2,0.015702,85
9,2,2.35129,15414
9,2,1.52124,9994
9,2,1.40269,9233
9,2,2.69842,17592
9,2,0.656012,4277
9,2,0.0170524,110
9,2,3.37538,22094
9,2,2.56215,16846
9,2,0.0149154,95
9,2,2.11314,13884
9,2,2.40141,15747
9,2,1.79746,11917
9,2,4.11554,26879
9,2,0.0782325,540
9,2,1.79787,11776
9,2,0.390989,2561
9,2,1.26169,8309
9,2,2.65663,17347
9,2,2.90485,19041
9,2,3.34337,21912
9,2,12.8379,83862
9,2,0.0964933,603
9,2,11.6699,76152
9,2,11.2243,73245
9,2,1.94655,12809
9,2,9.15666,60110
9,2,0.366656,2429
9,2,7.80185,51158
9,2,2.45723,16099
9,2,5.68079,37322
9,2,2.35065,15328
9,2,3.76688,24704
9,2,0.528173,3523
9,2,1.55935,10376
9,3,3.80945,24006
9,3,2.20726,13797
9,3,0.389602,2492
9,3,2.85239,17821
9,3,2.32257,14534
9,3,4.01153,25220
9,3,4.38612,27157
9,3,3.07125,18855
9,3,4.10106,25176
9,3,8.10863,50363
9,3,5.34214,32672
9,3,3.38839,20901
9,3,2.77811,17104
9,3,0.0699718,424
9,3,5.30338,32932
9,3,6.77725,42118
9,3,0.0312564,192
9,3,3.59836,22376
9,3,4.43723,28016
9,3,4.53221,28341
9,3,2.40889,15154
9,3,5.50863,34465
9,3,6.71579,41854
9,3,2.41223,15081
9,3,2.63915,16669
9,3,5.00669,31359
9,3,2.28012,14430
9,3,7.01416,43705
9,3,0.15712,969
9,3,3.38726,21093
9,3,6.91988,43433
9,3,1.92724,11928
9,3,3.39704,21405
9,3,0.0702989,432
9,3,4.53382,28493
9,3,5.4114,33638
9,3,3.50025,21784
9,3,4.36161,26776
9,3,6.21401,38638
9,3,3.82883,23848
9,3,6.76088,41974
9,3,5.60422,34934
9,3,16.7794,105007
9,3,3.99109,24926
9,3,4.57786,28620
9,3,5.44766,34064
9,3,0.412258,2564
9,3,2.70806,16998
9,3,0.487349,3028
9,3,3.09176,19243
9,4,8.12454,48810
9,4,3.75593,22525
9,4,0.628048,3761
9,4,6.35984,38359
9,4,1.13188,6778
9,4,7.4046,43892
9,4,5.5325,33178
9,4,3.0068,18048
9,4,5.9621,36197
9,4,6.56024,39408
9,4,5.73858,34467
9,4,4.92272,29500
9,4,1.886,11297
9,4,4.56637,27527
9,4,0.187568,1112
9,4,10.3732,62416
9,4,5.25909,31668
9,4,4.04226,24237
9,4,6.9143,41705
9,4,4.17087,24855
9,4,5.82599,35198
9,4,7.79674,46663
9,4,9.71619,58274
9,4,3.06313,18499
9,4,1.69344,10387
9,4,3.39319,20330
9,4,0.917638,5461
9,4,3.9122,23231
9,4,5.2402,31121
9,4,6.51699,38832
9,4,8.84954,52702
9,4,2.59347,15630
9,4,7.14555,42644
9,4,3.82569,22796
9,4,8.39417,50519
9,4,10.5154,63631
9,4,2.97967,17918
9,4,8.34585,49349
9,4,4.97703,29578
9,4,0.325896,1935
9,4,4.99243,29106
9,4,6.72628,39576
9,4,3.37737,20287
9,4,6.67893,40112
9,4,7.305,43515
9,4,6.95871,42062
9,4,7.09252,42804
9,4,4.49229,27108
9,4,2.24666,13656
