data_pack,cpu,time,iters
0,12,0.247386,736
0,4,0.605273,3917
0,24,0.116253,0
0,16,0.951263,2158
0,6,0.215336,1000
0,1,49.4706,409508
0,8,0.684018,2000
0,32,1.82976,1818
0,128,6.03464,995
0,2,12.3276,88534
0,64,2.02172,1375
1,12,0.353428,1000
1,4,4.60045,29988
1,24,4.8573,8055
1,16,0.0908031,0
1,6,7.1695,36102
1,1,0.829476,7590
1,8,0.395208,1656
1,32,2.68389,3331
1,128,4.91513,1624
1,2,5.52567,41839
1,64,0.101882,0
2,12,0.111857,0
2,4,0.19379,1000
2,24,0.0784596,0
2,16,0.103798,0
2,6,0.246045,1000
2,1,0.548676,5000
2,8,6.32938,24472
2,32,3.64565,3644
2,128,14.1665,3818
2,2,0.515239,3997
2,64,0.676986,0
3,12,1.19127,3164
3,4,6.48745,36129
3,24,2.44669,3527
3,16,2.93993,5840
3,6,0.757638,3176
3,1,10.9912,98383
3,8,0.13037,0
3,32,0.94066,1116
3,128,11.8866,3122
3,2,2.34166,16999
3,64,2.58657,1645
4,12,17.487,52129
4,4,0.597459,3919
4,24,1.12955,1755
4,16,5.91561,11876
4,6,15.0055,68087
4,1,-94.189,767885
4,8,10.0175,36917
4,32,6.05813,7477
4,128,2.74526,910
4,2,1.42565,9524
4,64,0.902724,419
